ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
8478,8478,0,0
8479,8479,0,0
8480,8480,0,0
8482,8482,0,0
8483,8483,0,0
8484,8484,0,0
8487,8487,0,0
8488,8488,0,0
8494,8494,0,0
8495,8495,0,0
8496,8496,0,0
8504,8504,0,0
8505,8505,0,0
8506,8506,0,0
8507,8507,0,0
8509,8509,0,0
8510,8510,0,0
8511,8511,0,0
8512,8512,0,0
8515,38003590,1,1
8515,38003589,1,1
8515,38003576,1,1
8515,38003594,1,1
8515,8515,0,0
8515,38003581,1,1
8515,38003585,1,1
8515,38003595,1,1
8515,38003593,1,1
8515,38003578,1,1
8515,38003586,1,1
8515,38003577,1,1
8515,38003583,1,1
8515,38003597,1,1
8515,38003579,1,1
8515,38003588,1,1
8515,38003582,1,1
8515,38003580,1,1
8515,38003587,1,1
8515,38003596,1,1
8515,38003574,1,1
8515,38003591,1,1
8515,38003575,1,1
8515,38003592,1,1
8515,38003584,1,1
8516,38003603,1,1
8516,38003605,1,1
8516,38003599,1,1
8516,38003602,1,1
8516,38003607,1,1
8516,38003601,1,1
8516,38003598,1,1
8516,38003608,1,1
8516,38003609,1,1
8516,38003600,1,1
8516,8516,0,0
8516,38003604,1,1
8516,38003606,1,1
8517,8517,0,0
8518,8518,0,0
8519,8519,0,0
8523,8523,0,0
8524,8524,0,0
8525,8525,0,0
8527,8527,0,0
8527,38003616,1,1
8527,38003614,1,1
8527,38003615,1,1
8529,8529,0,0
8532,8532,0,0
8541,8541,0,0
8542,8542,0,0
8543,8543,0,0
8547,8547,0,0
8549,8549,0,0
8550,8550,0,0
8553,8553,0,0
8554,8554,0,0
8555,8555,0,0
8556,8556,0,0
8557,38003610,1,1
8557,38003613,1,1
8557,8557,0,0
8557,38003612,1,1
8557,38003611,1,1
8560,8560,0,0
8564,8564,0,0
8565,8565,0,0
8566,8566,0,0
8568,8568,0,0
8574,8574,0,0
8576,8576,0,0
8577,8577,0,0
8578,8578,0,0
8581,8581,0,0
8582,8582,0,0
8583,8583,0,0
8586,8586,0,0
8587,8587,0,0
8588,8588,0,0
8589,8589,0,0
8590,8590,0,0
8596,8596,0,0
8598,8598,0,0
8600,8600,0,0
8604,8604,0,0
8605,8605,0,0
8606,8606,0,0
8609,8609,0,0
8610,8610,0,0
8611,8611,0,0
8613,8613,0,0
8616,8616,0,0
8617,8617,0,0
8621,8621,0,0
8622,8622,0,0
8623,8623,0,0
8628,8628,0,0
8629,8629,0,0
8630,8630,0,0
8631,8631,0,0
8632,8632,0,0
8636,8636,0,0
8637,8637,0,0
8641,8641,0,0
8645,8645,0,0
