drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason
757627,757627,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
782043,782043,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
791967,791967,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
40229134,1125315,NA,NA,21.7,8576,NA,8587,NA,NA,NA,NA
40229134,1119510,NA,NA,1,8576,NA,8587,NA,NA,NA,NA
40229134,738818,NA,NA,0.417,8576,NA,8587,NA,NA,NA,NA
1150837,1150836,60,8576,NA,NA,NA,NA,NA,NA,NA,NA
19059056,1112807,81,8576,NA,NA,NA,NA,NA,NA,NA,NA
1107882,1107830,10,8576,NA,NA,NA,NA,NA,NA,NA,NA
44816277,1518198,NA,NA,1.05,8576,168,8505,NA,NA,NA,NA
44816277,1549786,NA,NA,0.24528,8576,168,8505,NA,NA,NA,NA
35605482,1000560,NA,NA,4,8576,2,8587,NA,NA,NA,NA
1174888,1174888,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1343916,1343916,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1501700,1501700,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1521369,1521369,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1545958,1545958,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1595799,1595799,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
19002770,19002770,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
19039298,19039298,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
19054876,19054876,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
753626,753626,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
40220960,1347450,100,8576,NA,NA,NA,NA,NA,NA,NA,NA
19045231,926487,600,8576,NA,NA,NA,NA,NA,NA,NA,NA
19073183,1713332,250,8576,NA,NA,NA,NA,NA,NA,NA,NA
19074843,1768849,250,8576,NA,NA,NA,NA,NA,NA,NA,NA
19075601,1322184,75,8576,NA,NA,NA,NA,NA,NA,NA,NA
19076374,723013,NA,NA,5,8576,NA,8587,NA,NA,NA,NA
19077572,757627,4,8576,NA,NA,NA,NA,NA,NA,NA,NA
19078461,1177480,200,8576,NA,NA,NA,NA,NA,NA,NA,NA
920334,920293,50,8576,NA,NA,NA,NA,NA,NA,NA,NA
1551192,1551099,5,8576,NA,NA,NA,NA,NA,NA,NA,NA
19115351,723013,5,8576,NA,NA,NA,NA,NA,NA,NA,NA
19129655,1717327,NA,NA,100,8576,NA,8587,NA,NA,NA,NA
40163554,1310149,5,8576,NA,NA,NA,NA,NA,NA,NA,NA
40162522,1125315,325,8576,NA,NA,NA,NA,NA,NA,NA,NA
40162522,1174888,7.5,8576,NA,NA,NA,NA,NA,NA,NA,NA
40174880,1501700,0.075,8576,NA,NA,NA,NA,NA,NA,NA,NA
40224805,1500211,NA,NA,150,8576,1,8587,NA,NA,NA,NA
1310034,1309944,NA,NA,150,8576,3,8587,NA,NA,NA,NA
926487,926487,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1107830,1107830,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1149380,1149380,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1347450,1347450,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1519936,1519936,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1713332,1713332,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1738521,1738521,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
19010482,19010482,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
19078219,19078219,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
40231925,1125315,325,8576,NA,NA,NA,NA,NA,NA,NA,NA
40231925,1124957,5,8576,NA,NA,NA,NA,NA,NA,NA,NA
19006318,1728416,NA,NA,375,8576,NA,8587,NA,NA,NA,NA
40236446,705944,20,8576,NA,NA,NA,NA,NA,NA,NA,NA
43012754,1589505,NA,NA,0.00354,8576,NA,8505,NA,NA,NA,NA
46233988,1738521,50,8576,NA,NA,NA,NA,NA,NA,NA,NA
1718412,1589505,NA,NA,7.29e-4,8576,NA,8505,NA,NA,NA,NA
1150771,1150770,10,8576,NA,NA,NA,NA,NA,NA,NA,NA
19018935,1326303,0.125,8576,NA,NA,NA,NA,NA,NA,NA,NA
19029476,1125443,NA,NA,1,8576,NA,8587,NA,NA,NA,NA
1127078,1125315,160,8576,NA,NA,NA,NA,NA,NA,NA,NA
19075001,1778162,250,8576,NA,NA,NA,NA,NA,NA,NA,NA
19078924,708298,NA,NA,1,8576,NA,8587,NA,NA,NA,NA
19123231,742185,100,8576,NA,NA,NA,NA,NA,NA,NA,NA
19125062,1107830,5,8576,NA,NA,NA,NA,NA,NA,NA,NA
19126352,1361711,NA,NA,0.4,8576,NA,45744809,NA,NA,NA,NA
19133768,1125315,750,8576,NA,NA,NA,NA,NA,NA,NA,NA
19133768,1174888,7.5,8576,NA,NA,NA,NA,NA,NA,NA,NA
40162359,1124300,75,8576,NA,NA,NA,NA,NA,NA,NA,NA
40222846,701322,NA,NA,2,8576,NA,8587,NA,NA,NA,NA
40223834,1153428,60,8576,NA,NA,NA,NA,NA,NA,NA,NA
40223774,715997,23,8576,NA,NA,NA,NA,NA,NA,NA,NA
40171902,1307863,40,8576,NA,NA,NA,NA,NA,NA,NA,NA
40169281,1137529,NA,NA,3,8576,60,45744809,NA,NA,NA,NA
40169281,1149380,NA,NA,15,8576,60,45744809,NA,NA,NA,NA
1115008,1115008,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1118084,1118084,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1551099,1551099,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1589505,1589505,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
19016749,19016749,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
705944,705944,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
723013,723013,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
742185,742185,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
40236824,933724,100,8576,NA,NA,NA,NA,NA,NA,NA,NA
42707627,19003953,NA,NA,10,8576,NA,8587,NA,NA,NA,NA
46221626,1589505,NA,NA,8.13e-4,8576,NA,8505,NA,NA,NA,NA
